bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
34422,34422A,3,-23.9109231,150.2001337,11.89,22.0,1134.8636363636365,606.7284868126408,790.0,902.5,980.0,1100.0,3750.0,0.5346267757390994
34423,34423A,3,-24.4964979,150.555068,18.9,24.0,361.4583333333333,85.09124471728117,205.0,305.0,342.5,419.25,520.0,0.23541093639363092
34490,34490A,3,-24.5139718,150.5857999,19.15,12.0,240.91666666666663,93.01950756630993,142.0,173.0,210.0,327.0,429.0,0.386106568936603
34518,34518A,3,-24.3118296,150.454281,18.05,18.0,403.5,213.8953152417157,150.0,296.75,353.0,436.25,1150.0,0.5300999138580315
34824,34824A,3,-23.9274957,150.2577819,14.45,13.0,739.6153846153846,168.62311944171952,425.0,650.0,770.0,860.0,1041.0,0.2279875769882843
34892,34892A,3,-24.4176644,150.4282847,15.55,27.0,268.8888888888889,78.91199252396663,120.0,216.5,260.0,343.0,412.0,0.29347435236185937
35063,35063A,3,-24.418693,150.466079,10.7,11.0,147.0909090909091,45.34193323063,96.0,124.0,135.0,167.0,259.0,0.30825788970144
35294,35294A,3,-23.855491,150.2510357,13.7,12.0,362.75,52.34001597943272,292.0,339.0,352.5,371.25,495.0,0.14428674287920806
35623,35623A,3,-27.198864,151.0693965,84.7,14.0,1391.571428571429,1300.3147970505345,310.0,828.0,922.0,1162.5,4680.0,0.9344218847504095
35665,35665A,3,-23.8871279,150.2390274,14.0,18.0,522.7222222222222,120.63206361180194,345.0,440.5,492.5,613.75,720.0,0.23077661228743065
36051,36051A,3,-24.4137424,150.46721,16.4,28.0,157.25,95.91725793813318,36.0,112.5,147.5,186.25,506.0,0.6099666641534701
36231,36231A,3,-23.9113889,150.2230556,13.95,31.0,741.5483870967741,95.47559503512836,470.0,710.0,770.0,788.5,860.0,0.12875167244166433
36431,36431A,3,-23.9138889,150.1975,15.55,43.0,2809.186046511628,481.0614877941901,735.0,2880.0,2920.0,3000.0,3090.0,0.17124586261972907
37246,37246A,3,-24.49809,150.5775112,18.75,21.0,244.7142857142857,66.64243607277787,128.0,195.0,259.0,300.0,335.0,0.27232752627521606
37423,37423A,3,-24.7985262,149.0836362,73.2,11.0,26.545454545454547,9.299071312379922,20.0,21.0,21.0,28.5,45.0,0.350307480945819
37817,37817A,3,-23.8538164,150.2395308,14.33,13.0,508.84615384615387,31.16848342435607,450.0,485.0,510.0,530.0,560.0,0.061253255406897786
39306,39306A,3,-19.1934532,146.6438833,15.2,26.0,38119.807692307695,3165.8113401683404,31800.0,36200.0,38465.0,39687.25,46500.0,0.08304898507678407
39705,39705A,3,-19.1867866,146.6113838,37.4,31.0,47.483870967741936,7.749713834466988,35.0,42.5,47.0,52.0,63.0,0.16320728863347597
39706,39706A,3,-19.1776199,146.6186059,55.8,23.0,60.0,30.504843132615097,10.0,52.0,53.0,56.0,174.0,0.5084140522102516
39707,39707A,3,-19.1778977,146.6183281,25.3,37.0,67.21621621621621,23.11341017093172,23.0,49.0,73.0,84.0,111.0,0.3438665767287791
40121,40121A,3,-24.7945786,152.4013002,7.62,19.0,790.9473684210526,356.47743791534697,37.0,798.5,905.0,1025.0,1150.0,0.45069678735637425
